bls_enc(us),bls_dec(us)
4127,10195
3352,8864
3343,8820
3328,8708
3465,8729
3331,8730
2947,8319
3098,9050
4195,9563
3414,8345
3295,8429
3310,8379
3131,8341
3086,8423
3198,8435
4147,8845
3342,8384
3141,8354
3107,8253
3204,8335
3273,8398
2934,8188
3247,8177
3066,8377
2996,8188
3176,8424
3148,8165
3194,8315
3198,8229
3120,8196
3195,8268
3086,8366
3166,8298
3091,8259
3144,8182
3200,8358
2981,8439
3166,8402
3315,8158
2951,8285
3131,8370
2943,8387
3220,8318
3183,8188
3132,8230
3087,8307
3252,8251
3250,8388
3130,8412
2894,8445
3165,8175
3184,8094
3193,8316
3355,8317
3012,8217
3535,10410
3073,8243
3261,8251
3030,8248
3138,8406
3150,8274
3048,8339
3303,8285
3002,8327
3217,8327
3220,8394
3199,8217
3140,8279
3175,8523
3159,8473
3075,8261
3163,8446
2999,8146
3178,8422
3053,8411
3190,8381
3172,8279
3257,8262
3359,8419
3142,8178
3233,8584
3290,8613
3228,8350
3084,8377
3126,8514
3012,8290
3235,8302
3096,8278
3275,8195
3278,8234
3067,8288
3195,8239
3174,8370
3148,8291
3119,8309
3395,8555
3252,8231
3102,8163
3321,8308
3181,8335
