enclave size(bytes),enclave time(μs),app time(μs),delta(μs)
10000000,83815,16510,67305
20000000,168334,33205,135129
30000000,253896,49230,204666
40000000,336882,65939,270943
50000000,427319,80847,346472
60000000,504724,97983,406741
70000000,579048,113553,465495
80000000,666896,131760,535136
90000000,776303,148055,628248
100000000,907791,166194,741597
110000000,1026436,181303,845133
120000000,1136293,200473,935820
130000000,1254091,214369,1039722
140000000,1364983,236525,1128458
150000000,1559672,253083,1306589
160000000,1680789,267665,1413124
170000000,1817608,287286,1530322
180000000,1995060,313022,1682038
190000000,2090867,341931,1748936
200000000,2181379,349477,1831902
