size(bytes), seal time(μs), unseal time(μs)
1000000,6914 ,6715 
2000000,13148 ,13069 
3000000,19585 ,19662 
4000000,25780 ,25772 
5000000,32354 ,32394 
6000000,39222 ,38847 
7000000,45787 ,45991 
8000000,52904 ,52366 
9000000,60058 ,60294 
10000000,66893 ,66416 
11000000,73683 ,73546 
12000000,80849 ,81189 
13000000,88436 ,88634 
14000000,96289 ,94647 
15000000,102733 ,102173 
16000000,109841 ,109235 
17000000,116711 ,116417 
18000000,123715 ,124061 
19000000,131784 ,130814 
20000000,139383 ,138058 
